chromosome_index	position	cluster_index
1	1	2
1	2	1
1	3	2
1	4	0
1	5	2
1	6	0
1	7	0
1	8	2
1	9	1
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	2
1	17	1
1	18	2
1	19	2
1	20	2
1	21	2
1	22	2
1	23	2
1	24	2
1	25	2
1	26	0
1	27	0
1	28	0
1	29	0
1	30	0
1	31	0
1	32	2
1	33	2
1	34	0
1	35	0
1	36	0
1	37	0
1	38	2
1	39	2
1	40	0
1	41	2
1	42	2
1	43	2
1	44	2
1	45	2
1	46	2
1	47	0
1	48	2
1	49	2
1	50	2
1	51	2
1	52	0
1	53	2
1	54	0
1	55	1
1	56	1
1	57	0
1	58	2
1	59	0
1	60	0
1	61	2
1	62	1
1	63	2
1	64	2
1	65	0
1	66	2
1	67	2
1	68	2
1	69	0
1	70	0
1	71	0
1	72	1
1	73	2
1	74	0
1	75	0
1	76	2
1	77	2
1	78	2
1	79	0
1	80	2
1	81	0
1	82	2
1	83	2
1	84	1
1	85	2
1	86	2
1	87	2
1	88	2
1	89	2
1	90	0
1	91	2
1	92	2
1	93	0
1	94	2
1	95	0
1	96	0
1	97	0
1	98	0
1	99	2
1	100	1
1	101	1
1	102	0
1	103	1
1	104	0
1	105	2
1	106	1
1	107	0
1	108	2
1	109	2
1	110	0
1	111	2
1	112	0
1	113	0
1	114	0
1	115	0
1	116	2
1	117	2
1	118	2
1	119	2
1	120	0
1	121	0
1	122	0
1	123	0
1	124	0
1	125	0
1	126	0
1	127	0
1	128	1
1	129	2
1	130	0
1	131	2
1	132	1
1	133	0
1	134	2
1	135	2
1	136	2
1	137	2
1	138	0
1	139	0
1	140	2
1	141	1
1	142	0
1	143	1
1	144	0
1	145	2
1	146	2
1	147	0
1	148	0
1	149	0
1	150	2
1	151	0
1	152	0
1	153	0
1	154	1
1	155	1
1	156	2
1	157	1
1	158	2
1	159	2
1	160	0
1	161	0
1	162	0
1	163	2
1	164	0
1	165	0
1	166	0
1	167	0
1	168	0
1	169	0
1	170	2
1	171	1
1	172	1
1	173	2
1	174	1
1	175	1
1	176	2
1	177	2
1	178	2
1	179	2
1	180	2
